t_pmid,t_year,t_journal,t_future_work,followup_pmid,followup_year,followup_match_text,match_type,confidence_0to1,notes
26198993,2015,Support Care Cancer,"Additional research is needed to translate these findings into interventions that improve the dermatologic quality of life of breast cancer patients undergoing chemotherapy.",34728262,2021,"Tailored moisturizer for reducing chemotherapy-induced skin dryness in breast cancer patients (RCT).",direct_continuation,0.85,"Same group moves from objective skin-composition cohort to an RCT of a topical intervention targeting the exact dryness/sebum signal identified in 26198993."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",31338640,2019,"Pilot RCT of topical CG428 lotion for PCIA, using objective bioengineering hair density/thickness measurements in breast cancer survivors averaging 3.5 years post-chemotherapy.",direct_continuation,0.85,"Same group, same population, same objective measurement device; converts the 2018 cohort's call for interventions into a pilot RCT."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",38843479,2024,"Scalp cooling RCT against PCIA at 6 months post-chemo using Folliscope hair density/thickness and CADS distress.",direct_continuation,0.9,"Directly answers the cohort's call for an interdisciplinary preventive intervention with objective endpoints; same SMC team."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",40008373,2025,"FINE-GL development and validation - a condition-specific PROM following COSMIN for facial-line distress; same instrument-development pattern earlier applied to CIA/CADS.",methodology_followup,0.5,"Indirect: the 2018 cohort asks for 'precise tools for subjective PCIA assessment'; FINE-GL is a different facial-line PROM but uses the same condition-specific PROM-development pipeline the group then extended to alopecia distress; lower confidence because direct PCIA-PROM successor is CADS not FINE-GL."
31338640,2019,J Cancer Surviv,not stated,,,,,,No future_work statement extracted.
28233366,2017,Asian Pac J Cancer Prev,"Help breast cancer survivors set proper life goals as a potentially beneficial intervention for those experiencing persistent QoL issues during the reentry period.",34368886,2021,"Mind-and-body education RCT in young breast cancer patients to improve body image, sexual functioning, and emotional outcomes.",parallel_question,0.45,"Partial overlap: both target the reentry/early-survivorship psychosocial period, but 34368886 is appearance- and mind-control-focused rather than a hope/purpose intervention; weak conceptual continuity."
28262081,2017,Eur J Cancer Care,"Healthcare professionals should acknowledge long-term effects of altered appearance among breast cancer survivors and help them manage the associated distress and psychological consequences.",34368886,2021,"Mind-and-body education RCT improved body image and reduced distress from altered appearance at 6 months in young breast cancer patients.",direct_continuation,0.8,"34368886 explicitly delivers a structured intervention addressing altered-appearance distress, matching the 2017 paper's call."
28262081,2017,Eur J Cancer Care,"Healthcare professionals should acknowledge long-term effects of altered appearance among breast cancer survivors and help them manage the associated distress and psychological consequences.",38843479,2024,"Scalp cooling RCT reduces CADS-measured CIA distress and PCIA incidence at 6 months.",methodology_followup,0.6,"Same group's altered-appearance distress program; scalp cooling is the preventive intervention arm of the broader altered-appearance management call."
29121713,2017,Korean J Intern Med,"Larger studies to identify risk factors in long-term NHL survivors, embed routine symptom and psychosocial monitoring in survivorship care, and test psychological interventions (MBSR, MBCT, ACT) to reduce fear of relapse.",34907177,2021,"Nationwide cohort of NHL risk in breast cancer survivors; risk-factor characterization in a much larger NHL population (incident NHL cases from K-NHIS).",same_data_extension,0.4,"Partial: scales up sample size for NHL risk identification but in BC-to-NHL direction rather than in NHL survivorship; weak match."
29121713,2017,Korean J Intern Med,"Larger studies to identify risk factors in long-term NHL survivors, embed routine symptom and psychosocial monitoring in survivorship care, and test psychological interventions (MBSR, MBCT, ACT) to reduce fear of relapse.",35209702,2022,"CaSUN-K psychometric validation among Korean NSCLC survivors; concern about cancer recurrence was the most frequently reported unmet need (77%).",methodology_followup,0.45,"Operationalizes the call for routine PRO-based monitoring of fear of relapse in another non-breast-cancer survivor group; tool rather than intervention."
31913326,2020,Sci Rep,"Prospective studies and interventional trials testing stress management on metabolic abnormalities and NAFLD, and mechanistic studies on sex- and obesity-related differences in stress response.",,,,,,No clear self-followup in this 46-paper corpus (other NAFLD/stress work likely sits outside the bibliography window).
32410403,2020,Int J Environ Res Public Health,"More attention is needed to evaluate and improve HRQoL of HCC patients given rising HCC incidence and survivorship, particularly long-term survivors and supportive-care interventions, which remain understudied.",,,,,,No HCC-specific followup paper in the corpus.
33241506,2020,Support Care Cancer,"Evaluate body image after HSCT routinely and develop appropriate interventions to prevent further psychological consequences.",,,,,,No HSCT-specific intervention followup in the corpus.
33299030,2020,Sci Rep,not stated,,,,,,Erratum; no future_work.
33848414,2021,Cancer Res Treat,"Investigate hierarchical/multidimensional models of depression and anxiety to build more efficient computer adaptive tests, and conduct test-retest reliability studies in broader Korean cancer populations.",34795924,2021,"K-PROMIS-29 V2.1 validated in CPD patients with similar EFA observation that anxiety/fatigue merged into one factor.",direct_continuation,0.85,"Direct extension of the same group's K-PROMIS-29 validation pipeline to a non-cancer disease group; replicates the negative-affect factor-merging finding flagged for future investigation."
